TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,Outcome,ev_level,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey,futuresharingRating
1,4.3,0.8,0.0,0.5,0.3,0.4,,,,,,,,,,,,,,,,,,,
,,,,,,,105,1.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_15.jpeg,did not like,3.613205605,2.2325889579951763,,,,,,,,,
,,,,,,,105,2.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_4.jpeg,did not like,4.988446431,1.582921624998562,,,,,,,,,
,,,,,,,105,3.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_7.jpeg,did not like,3.470791822,1.44704537501093,,,,,,,,,
,,,,,,,105,4.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_22.jpeg,did not like,3.820572462,1.1206758330808952,,,,,,,,,
,,,,,,,105,5.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_8.jpeg,did not like,2.455989137,1.0677690419834107,,,,,,,,,
,,,,,,,105,,1.0,Gamble,,,,,,,17.73,11.13,w,10.0,2.504674332914874,0.0,11.13,9,
,,,,,,,105,,2.0,Gamble,,,,,,,20.03,1.99,l,6.0,1.3091322079999372,1.0,20.03,1,
,,,,,,,105,,3.0,Gamble,,,,,,,16.9,7.55,l,8.0,1.3308536250842735,1.0,16.9,1,
,,,,,,,105,,4.0,Gamble,,,,,,,13.45,5.27,w,6.0,1.3955151670379564,1.0,13.45,1,
,,,,,,,105,,5.0,Gamble,,,,,,,16.06,7.97,l,8.0,1.410689041018486,1.0,16.06,1,
,,,,,,,105,6.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_5.jpeg,did not like,3.79605092,1.8987278330605477,,,,,,,,,
,,,,,,,105,7.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_23.jpeg,liked,3.562416326,1.5531905420357361,,,,,,,,,
,,,,,,,105,8.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_6.jpeg,did not like,2.843822497,1.0755597499664873,,,,,,,,,
,,,,,,,105,9.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_2.jpeg,did not like,3.546495948,0.6591125830309466,,,,,,,,,
,,,,,,,105,10.0,,PhotoShare,Charlie,Rej,Participant_Images/105/105_Images/105_Image_1.jpeg,did not like,1.672012706,0.8158858340466395,,,,,,,,,
,,,,,,,105,,6.0,Gamble,,,,,,,10.84,6.58,w,6.0,1.412431332981214,0.0,6.58,9,
