TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,Outcome,ev_level,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey,futuresharingRating
1,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,
,,,,,,,101,1.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,3.613205605,0.7550110419979319,,,,,,,,,
,,,,,,,101,2.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,4.988446431,0.456403375021182,,,,,,,,,
,,,,,,,101,3.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,3.470791822,0.3947845409857109,,,,,,,,,
,,,,,,,101,4.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,liked,3.820572462,0.6482216250151396,,,,,,,,,
,,,,,,,101,5.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_26.jpeg,did not like,2.455989137,0.32107262511271983,,,,,,,,,
,,,,,,,101,,1.0,Gamble,,,,,,,24.19,7.91,w,10.0,2.1286169999511912,1.0,24.19,1,
,,,,,,,101,,2.0,Gamble,,,,,,,10.84,6.58,l,6.0,,999.0,999.0,999,
,,,,,,,101,,3.0,Gamble,,,,,,,25.96,7.02,w,10.0,1.476666499977,0.0,7.02,9,
,,,,,,,101,,4.0,Gamble,,,,,,,25.08,3.46,l,8.0,1.508738916949369,1.0,25.08,1,
,,,,,,,101,,5.0,Gamble,,,,,,,13.45,5.27,l,6.0,1.6350746670505032,0.0,5.27,9,
,,,,,,,101,6.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_30.jpeg,did not like,3.79605092,0.2510644170688465,,,,,,,,,
,,,,,,,101,7.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_9.jpeg,liked,3.562416326,0.2642074580071494,,,,,,,,,
,,,,,,,101,8.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_6.jpeg,liked,2.843822497,0.5072528339223936,,,,,,,,,
,,,,,,,101,9.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_10.jpeg,liked,3.546495948,0.25584170792717487,,,,,,,,,
,,,,,,,101,10.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_1.jpeg,liked,1.672012706,0.9689683750038967,,,,,,,,,
,,,,,,,101,,6.0,Gamble,,,,,,,14.76,8.62,w,8.0,1.2949980839621276,1.0,14.76,1,
,,,,,,,101,,7.0,Gamble,,,,,,,18.25,10.88,l,10.0,1.3603127090027556,1.0,18.25,1,
,,,,,,,101,,8.0,Gamble,,,,,,,16.06,7.97,l,8.0,1.2454184159869328,1.0,16.06,1,
,,,,,,,101,,9.0,Gamble,,,,,,,19.78,6.11,w,8.0,1.3078920829575509,1.0,19.78,1,
,,,,,,,101,,10.0,Gamble,,,,,,,14.31,8.84,l,8.0,1.3899171249940991,0.0,8.84,9,
,,,,,,,101,11.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_27.jpeg,liked,4.942172136,0.30088916595559567,,,,,,,,,
,,,,,,,101,12.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_29.jpeg,did not like,2.50187214,0.5786997909890488,,,,,,,,,
,,,,,,,101,13.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_14.jpeg,liked,2.071164779,0.931342166964896,,,,,,,,,
,,,,,,,101,14.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_24.jpeg,did not like,5.336503566,3.5742779170395806,,,,,,,,,
,,,,,,,101,15.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_19.jpeg,did not like,2.642157193,1.3053357909666374,,,,,,,,,
,,,,,,,101,,11.0,Gamble,,,,,,,20.03,1.99,w,6.0,2.344635291956365,1.0,20.03,1,
