TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,Outcome,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey
1.0,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,
,,,,,,,101,1.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,3.613205605,0.2611028340179473,,,,,,,
,,,,,,,101,2.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,4.988446431,0.10513729101512581,,,,,,,
,,,,,,,101,3.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,3.470791822,0.5549512909783516,,,,,,,
,,,,,,,101,4.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,liked,3.820572462,0.465362584014656,,,,,,,
,,,,,,,101,5.0,,PhotoShare,Sam,Acc,Participant_Images/101/101_Images/101_Image_26.jpeg,did not like,2.455989137,0.0787675829778891,,,,,,,
,,,,,,,101,,1.0,Gamble,,,,,,,24.19,7.91,w,1.344247125001857,1.0,24.19,1
,,,,,,,101,,2.0,Gamble,,,,,,,10.84,6.58,l,1.5605829589767382,0.0,6.58,9
,,,,,,,101,,3.0,Gamble,,,,,,,25.96,7.02,w,1.2697470000130124,1.0,25.96,1
,,,,,,,101,,4.0,Gamble,,,,,,,25.08,3.46,l,1.2601722920080647,0.0,3.46,9
,,,,,,,101,,5.0,Gamble,,,,,,,13.45,5.27,l,1.42543800000567,1.0,13.45,1
