TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,Outcome,ev_level,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey,futuresharingRating
,,,,,,,103,,18.0,Gamble,,,,,,,15.32,8.34,l,8.0,1.109170834068209,0.0,8.34,9,
,,,,,,,103,,19.0,Gamble,,,,,,,12.85,5.57,w,6.0,1.1247539999894798,0.0,5.57,9,
,,,,,,,103,,20.0,Gamble,,,,,,,11.2,6.4,l,6.0,1.0725402919342741,0.0,6.4,9,
,,,,,,,103,21.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_17.png,did not like,1.779333479,0.9917659169295803,,,,,,,,,
,,,,,,,103,22.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_23.png,did not like,4.312468682,0.7242231249110773,,,,,,,,,
,,,,,,,103,23.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_4.png,did not like,4.940433059,0.6388973330613226,,,,,,,,,
,,,,,,,103,24.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_14.png,did not like,2.7105123,0.7094028339488432,,,,,,,,,
,,,,,,,103,25.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_25.png,did not like,3.602308302,0.5807837500469759,,,,,,,,,
,,,,,,,103,,21.0,Gamble,,,,,,,16.9,7.55,l,8.0,2.307622791035101,0.0,7.55,9,
,,,,,,,103,,22.0,Gamble,,,,,,,10.84,6.58,w,6.0,1.4993937920080498,0.0,6.58,9,
,,,,,,,103,,23.0,Gamble,,,,,,,13.45,5.27,l,6.0,1.2343814589548856,1.0,13.45,1,
,,,,,,,103,,24.0,Gamble,,,,,,,14.31,8.84,w,8.0,1.468061999999918,0.0,8.84,9,
,,,,,,,103,,25.0,Gamble,,,,,,,16.8,3.6,w,6.0,1.3064871670212597,1.0,16.8,1,
,,,,,,,103,26.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_10.png,liked,4.106391878,1.0111315839458257,,,,,,,,,
,,,,,,,103,27.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_29.png,did not like,3.799433026,1.137683333014138,,,,,,,,,
,,,,,,,103,28.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_2.png,did not like,5.246980764,0.8373221249785274,,,,,,,,,
,,,,,,,103,29.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_22.png,did not like,3.30081769,0.5903548749629408,,,,,,,,,
,,,,,,,103,30.0,,PhotoShare,Riley,Rej,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_12.png,did not like,1.661473164,0.9480016250163317,,,,,,,,,
,,,,,,,103,,26.0,Gamble,,,,,,,19.78,6.11,w,8.0,1.0929963749367744,1.0,19.78,1,
,,,,,,,103,,27.0,Gamble,,,,,,,21.33,5.33,w,8.0,1.7931602079188451,1.0,21.33,1,
,,,,,,,103,,28.0,Gamble,,,,,,,17.73,11.13,w,10.0,1.3788466249825433,0.0,11.13,9,
,,,,,,,103,,29.0,Gamble,,,,,,,18.25,10.88,w,10.0,2.315538957947865,0.0,10.88,9,
,,,,,,,103,,30.0,Gamble,,,,,,,16.06,7.97,l,8.0,2.433869209024124,0.0,7.97,9,
30,4.0,0.2,0.0,0.0,0.0,0.0,103,,,,,,,,,,,,,,,,,,0.5
,,,,,,,103,31.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_3.png,liked,3.613205605,1.2255794580560178,,,,,,,,,
,,,,,,,103,32.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_17.png,liked,4.988446431,1.0856935000047088,,,,,,,,,
,,,,,,,103,33.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_15.png,did not like,3.470791822,0.7614584589609876,,,,,,,,,
,,,,,,,103,34.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_29.png,liked,3.820572462,0.6472634579986334,,,,,,,,,
,,,,,,,103,35.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_8.png,liked,2.455989137,0.5789269589586183,,,,,,,,,
,,,,,,,103,,31.0,Gamble,,,,,,,12.85,5.57,l,6.0,1.619768499978818,0.0,5.57,9,
,,,,,,,103,,32.0,Gamble,,,,,,,14.76,8.62,w,8.0,1.3229819590924308,0.0,8.62,9,
