TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,Outcome,ev_level,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey,futuresharingRating
1,2.5,1.5,3.4,1.5,1.5,2.9,,,,,,,,,,,,,,,,,,,
,,,,,,,106,1.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_9.jpeg,did not like,3.613205605,2.347852125065401,,,,,,,,,
,,,,,,,106,2.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_14.jpeg,did not like,4.988446431,1.1278965000528842,,,,,,,,,
,,,,,,,106,3.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_19.jpeg,liked,3.470791822,0.7549238749779761,,,,,,,,,
,,,,,,,106,4.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_5.jpeg,did not like,3.820572462,0.9036716249538586,,,,,,,,,
,,,,,,,106,5.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_10.jpeg,did not like,2.455989137,1.7580308748874813,,,,,,,,,
,,,,,,,106,,1.0,Gamble,,,,,,,18.25,10.88,l,10.0,2.8521712500369176,1.0,18.25,1,
,,,,,,,106,,2.0,Gamble,,,,,,,18.89,10.55,w,10.0,2.5696307501057163,1.0,18.89,1,
,,,,,,,106,,3.0,Gamble,,,,,,,11.66,6.17,l,6.0,,999.0,999.0,999,
,,,,,,,106,,4.0,Gamble,,,,,,,14.21,4.89,l,6.0,1.7034822920104489,1.0,14.21,1,
,,,,,,,106,,5.0,Gamble,,,,,,,15.19,4.41,w,6.0,1.4403937079478055,1.0,15.19,1,
,,,,,,,106,6.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_3.jpeg,liked,3.79605092,1.5126535000745207,,,,,,,,,
,,,,,,,106,7.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_15.jpeg,did not like,3.562416326,0.7001966659445316,,,,,,,,,
,,,,,,,106,8.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_30.jpeg,did not like,2.843822497,1.7255369999911636,,,,,,,,,
,,,,,,,106,9.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_12.jpeg,did not like,3.546495948,0.43728158401791006,,,,,,,,,
,,,,,,,106,10.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_4.jpeg,liked,1.672012706,0.8415655409917235,,,,,,,,,
,,,,,,,106,,6.0,Gamble,,,,,,,16.9,7.55,w,8.0,1.441114875022322,1.0,16.9,1,
,,,,,,,106,,7.0,Gamble,,,,,,,12.85,5.57,l,6.0,1.7650782919954509,0.0,5.57,9,
,,,,,,,106,,8.0,Gamble,,,,,,,18.59,6.71,l,8.0,1.4042803330812603,0.0,6.71,9,
,,,,,,,106,,9.0,Gamble,,,,,,,29.55,5.22,w,10.0,1.214503625058569,1.0,29.55,1,
,,,,,,,106,,10.0,Gamble,,,,,,,14.31,8.84,l,8.0,1.806616833084263,1.0,14.31,1,
,,,,,,,106,11.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_18.jpeg,did not like,4.942172136,1.3360719999764115,,,,,,,,,
,,,,,,,106,12.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_22.jpeg,did not like,2.50187214,0.7188808749197051,,,,,,,,,
,,,,,,,106,13.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_29.jpeg,liked,2.071164779,0.8905089590698481,,,,,,,,,
,,,,,,,106,14.0,,PhotoShare,Alex,Rej,Participant_Images/106/106_Images/106_Image_26.jpeg,did not like,5.336503566,0.7629192499443889,,,,,,,,,
